CVE_DOC,FECHA_DOC,NOMBRE_VENDEDOR,NOMBRE_CLIENTE,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
F37102,2022-01-12,ALFREDO CANELA,DEACERO,3,TUE00321,"TUB INOX 1/2""ØX1030MMX980MM 3KW480V ""L""",12720.0,0.0,1509.14,38160.0,4527.42,11210.86,33632.58
F37169,2022-01-21,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,275.5,275.5,44259.0,8264.95,1199.8,35994.05
F37443,2022-02-23,DIEGO ARMANDO LEON DURAN,NHK SPRING MEXICO,36,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,0.0,254.34,52200.0,9156.17,1195.66,43043.83
F37493,2022-02-28,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,339.43,339.43,44259.0,10182.84,1135.87,34076.16
F37734,2022-03-28,DIEGO ARMANDO LEON DURAN,DIECASTING CELAYA,2,BO00005,BO ABIERTA ALAMBRE CAL. 6 40 KW 440 V,18500.0,0.0,1560.44,37000.0,3120.88,16939.56,33879.12
F37758,2022-03-29,ALFREDO CANELA,ALYEX ALUMINUM,18,TUE00319,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,0.0,714.2,74700.0,12855.68,3435.8,61844.32
F37777,2022-03-31,ALFREDO CANELA,CLAVOS NACIONALES C.N,60,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,340.8,340.8,77959.2,20448.01,958.52,57511.19
F37977,2022-04-25,ALFREDO CANELA,ALYEX ALUMINUM,18,TUE00319,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,714.2,714.2,74700.0,12855.68,3435.8,61844.32
F38047,2022-04-29,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,35,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,335.51,335.51,51635.5,11742.95,1139.79,39892.55
F38221,2022-05-24,LETICIA RAMIREZ HERNANDEZ,TERMOFORMATEC,60,CAS00080,CAS INOX 18.5MMØX205MM 950W 440V EXT30CM,1296.0,0.0,244.07,77760.0,14643.92,1051.93,63116.08
F38312,2022-06-03,ALFREDO CANELA,NHK SPRING MEXICO,36,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,266.04,266.04,52200.0,9577.26,1183.97,42622.74
F38484,2022-06-29,ALFREDO CANELA,CHAMPIÑONES SAN MIGUEL,100,BOBINA002,BOBINA DSD CAL.17 12mmØx410mm 4000W 254V,369.5,18.14,18.14,36950.0,1813.59,351.36,35136.41
F38762,2022-08-08,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,291.48,291.48,44259.0,8744.54,1183.82,35514.46
F38910,2022-08-25,ALFREDO CANELA,RICHALUM,2,BOBINA004,RESIST TIPO BOBINA CAL. 6 DSD 30 KW 440V,18482.78,2613.6,2613.6,36965.56,5227.2,15869.18,31738.36
F39139,2022-09-23,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,18,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,7780.0,816.73,1743.86,70020.0,16025.97,6036.14,53994.03
F39139,2022-09-23,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,18,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,7780.0,930.34,2064.16,70020.0,19187.82,5715.84,50832.18
F39174,2022-09-28,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,288.77,288.77,44259.0,8663.07,1186.53,35595.93
F39201,2022-09-30,ALFREDO CANELA,KERN LIEBERS MEXICO,4,EE00063,FABRICACIÓN ESPECIAL 1300W 115V,18869.0,0.0,1721.28,75476.0,6885.12,17147.72,68590.88
F39342,2022-10-19,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,11,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,3890.0,982.4,982.4,42790.0,10806.45,2907.6,31983.55
F39436,2022-10-28,ALFREDO CANELA,KERN LIEBERS MEXICO,4,EE00063,FABRICACIÓN ESPECIAL 1300W 115V,18869.0,1721.28,1721.28,75476.0,6885.12,17147.72,68590.88
